440÷4=\\ 32×3=\\ 48÷4=\\ 540÷9=\\ 90÷9=\\ 13×3=\\
50×5=\\ 800×3=\\ 60×50=\\ 410×2=\\ 41×20=\\ 310×3=\\
20×23=\\ 440÷4=\\ 30×32=\\ 0×35=\\ 10×35=\\ 29＋61=\\
40×70=\\ 30×30=\\ 50×90=\\ 80×30=\\ 20×14=\\ 90×50=\\
420÷6=\\ 300÷6=\\ 240÷4=\\ 69×10=\\ 22×40=\\ 33×20=\\
900÷9=\\ 810÷9=\\ 630÷9=\\ 30×23=\\ 330×3=\\ 0×30=\\
750－50=\\ 480÷8=\\ 5000＋2000=\\ 77－48=\\ 300÷5=\\ 300＋700=\\
420÷2=\\ 820÷2=\\ 70×11=\\ 4500－500=\\ 20×40=\\ 400÷4=\\
11×40=\\ 900×5=\\ 67－49=\\ 200÷4=\\ 8000－1000=\\ 20×24=\\
57＋29=\\ 540÷6=\\ 10×73=\\ 10×58=\\ 0÷49=\\ 34×20=\\
80×90=\\ 30×70=\\ 120×4=\\ 640÷8=\\ 720÷9=\\ 10×34=\\
65×10=\\ 660÷3=\\ 700×5=\\ 41×20=\\ 7000－3000=\\ 30×30=\\
10×47=\\ 30×23=\\ 660÷6=\\ 5900－5000=\\ 11×40=\\ 70×40=\\
10×36=\\ 6000＋2000=\\ 80×80=\\ 29＋14=\\ 80×50=\\ 200×4=\\
36＋56=\\ 88×10=\\ 600÷6=\\ 22×30=\\ 400＋600=\\ 34＋29=\\
800÷8=\\ 21×30=\\ 720÷8=\\ 33×30=\\ 32×20=\\ 87×10=\\
500＋40=\\ 22×40=\\ 440÷4=\\ 33×20=\\ 320÷4=\\ 900÷3=\\
77－29=\\ 0÷93=\\ 640÷2=\\ 30×50=\\ 75＋18=\\ 600＋700=\\
40×70=\\ 43＋38=\\ 90×50=\\ 84－65=\\ 43－16=\\ 10×80=\\
57＋29=\\ 500＋40=\\ 88×10=\\ 700×5=\\
80×90=\\ 40×70=\\ 21×30=\\ 660÷6=\\
65×10=\\ 540÷6=\\ 22×40=\\ 80×80=\\
10×47=\\ 30×70=\\ 0÷93=\\ 600÷6=\\
10×36=\\ 660÷3=\\ 43＋38=\\ 720÷8=\\
36＋56=\\ 23×30=\\ 10×73=\\ 90×50=\\
800÷8=\\ 6000＋2000=\\ 120×4=\\ 640÷2=\\
